week_ending,spot_price,creation_volume_total,creation_by_activity,cumulative_surplus,annual_demand,penalty_rate,days_to_surrender,price_to_penalty_ratio,policy_events,data_quality
2019-04-12,21.5,97830,"{""commercial_lighting"": 53807, ""heer"": 14674, ""iheab"": 19566, ""piamv"": 9783}",4300000,4600000,28.56,354,0.7528,[],synthetic_monthly
2019-04-19,21.55,100491,"{""commercial_lighting"": 55270, ""heer"": 15074, ""iheab"": 20098, ""piamv"": 10049}",4300000,4600000,28.56,347,0.7546,[],synthetic_monthly
2019-04-26,21.59,103032,"{""commercial_lighting"": 56668, ""heer"": 15455, ""iheab"": 20606, ""piamv"": 10303}",4300000,4600000,28.56,340,0.756,[],synthetic_monthly
2019-05-03,21.64,105417,"{""commercial_lighting"": 57979, ""heer"": 15813, ""iheab"": 21083, ""piamv"": 10542}",4300000,4600000,28.56,333,0.7577,[],synthetic_monthly
2019-05-10,21.68,107611,"{""commercial_lighting"": 59186, ""heer"": 16142, ""iheab"": 21522, ""piamv"": 10761}",4300000,4600000,28.56,326,0.7591,[],synthetic_monthly
2019-05-17,21.75,109581,"{""commercial_lighting"": 60270, ""heer"": 16437, ""iheab"": 21916, ""piamv"": 10958}",4300000,4600000,28.56,319,0.7616,[],synthetic_monthly
2019-05-24,21.82,111300,"{""commercial_lighting"": 61215, ""heer"": 16695, ""iheab"": 22260, ""piamv"": 11130}",4300000,4600000,28.56,312,0.764,[],synthetic_monthly
2019-05-31,21.88,112741,"{""commercial_lighting"": 62008, ""heer"": 16911, ""iheab"": 22548, ""piamv"": 11274}",4300000,4600000,28.56,305,0.7661,[],synthetic_monthly
2019-06-07,21.95,113885,"{""commercial_lighting"": 62637, ""heer"": 17083, ""iheab"": 22777, ""piamv"": 11388}",4300000,4600000,28.56,298,0.7686,[],synthetic_monthly
2019-06-14,22.02,114714,"{""commercial_lighting"": 63093, ""heer"": 17207, ""iheab"": 22943, ""piamv"": 11471}",4300000,4600000,28.56,291,0.771,[],synthetic_monthly
2019-06-21,22.09,115216,"{""commercial_lighting"": 63369, ""heer"": 17282, ""iheab"": 23043, ""piamv"": 11522}",4300000,4600000,28.56,284,0.7735,[],synthetic_monthly
2019-06-28,22.16,115385,"{""commercial_lighting"": 63462, ""heer"": 17308, ""iheab"": 23077, ""piamv"": 11538}",4300000,4600000,28.56,277,0.7759,[],synthetic_monthly
2019-07-05,22.23,115216,"{""commercial_lighting"": 63369, ""heer"": 17282, ""iheab"": 23043, ""piamv"": 11522}",4300000,4600000,28.56,270,0.7784,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-07-12,22.3,114714,"{""commercial_lighting"": 63093, ""heer"": 17207, ""iheab"": 22943, ""piamv"": 11471}",4300000,4600000,28.56,263,0.7808,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-07-19,22.35,113885,"{""commercial_lighting"": 62637, ""heer"": 17083, ""iheab"": 22777, ""piamv"": 11388}",4300000,4600000,28.56,256,0.7826,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-07-26,22.39,112741,"{""commercial_lighting"": 62008, ""heer"": 16911, ""iheab"": 22548, ""piamv"": 11274}",4300000,4600000,28.56,249,0.784,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-08-02,22.44,111300,"{""commercial_lighting"": 61215, ""heer"": 16695, ""iheab"": 22260, ""piamv"": 11130}",4300000,4600000,28.56,242,0.7857,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-08-09,22.48,109581,"{""commercial_lighting"": 60270, ""heer"": 16437, ""iheab"": 21916, ""piamv"": 10958}",4300000,4600000,28.56,235,0.7871,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-08-16,22.48,107611,"{""commercial_lighting"": 59186, ""heer"": 16142, ""iheab"": 21522, ""piamv"": 10761}",4300000,4600000,28.56,228,0.7871,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-08-23,22.46,105417,"{""commercial_lighting"": 57979, ""heer"": 15813, ""iheab"": 21083, ""piamv"": 10542}",4300000,4600000,28.56,221,0.7864,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-08-30,22.44,103032,"{""commercial_lighting"": 56668, ""heer"": 15455, ""iheab"": 20606, ""piamv"": 10303}",4300000,4600000,28.56,214,0.7857,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-09-06,22.42,100491,"{""commercial_lighting"": 55270, ""heer"": 15074, ""iheab"": 20098, ""piamv"": 10049}",4300000,4600000,28.56,207,0.785,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-09-13,22.38,97830,"{""commercial_lighting"": 53807, ""heer"": 14674, ""iheab"": 19566, ""piamv"": 9783}",4300000,4600000,28.56,200,0.7836,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-09-20,22.34,95089,"{""commercial_lighting"": 52299, ""heer"": 14263, ""iheab"": 19018, ""piamv"": 9509}",4300000,4600000,28.56,193,0.7822,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-09-27,22.29,92308,"{""commercial_lighting"": 50769, ""heer"": 13846, ""iheab"": 18462, ""piamv"": 9231}",4300000,4600000,28.56,186,0.7805,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-10-04,22.25,89526,"{""commercial_lighting"": 49239, ""heer"": 13429, ""iheab"": 17905, ""piamv"": 8953}",4300000,4600000,28.56,179,0.7791,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-10-11,22.2,86785,"{""commercial_lighting"": 47732, ""heer"": 13018, ""iheab"": 17357, ""piamv"": 8678}",4300000,4600000,28.56,172,0.7773,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-10-18,22.15,84125,"{""commercial_lighting"": 46269, ""heer"": 12619, ""iheab"": 16825, ""piamv"": 8412}",4300000,4600000,28.56,165,0.7756,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-10-25,22.11,81583,"{""commercial_lighting"": 44871, ""heer"": 12237, ""iheab"": 16317, ""piamv"": 8158}",4300000,4600000,28.56,158,0.7742,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-11-01,22.06,79199,"{""commercial_lighting"": 43559, ""heer"": 11880, ""iheab"": 15840, ""piamv"": 7920}",4300000,4600000,28.56,151,0.7724,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-11-08,22.02,77005,"{""commercial_lighting"": 42353, ""heer"": 11551, ""iheab"": 15401, ""piamv"": 7700}",4300000,4600000,28.56,144,0.771,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-11-15,21.98,75034,"{""commercial_lighting"": 41269, ""heer"": 11255, ""iheab"": 15007, ""piamv"": 7503}",4300000,4600000,28.56,137,0.7696,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-11-22,21.96,73316,"{""commercial_lighting"": 40324, ""heer"": 10997, ""iheab"": 14663, ""piamv"": 7332}",4300000,4600000,28.56,130,0.7689,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-11-29,21.94,71874,"{""commercial_lighting"": 39531, ""heer"": 10781, ""iheab"": 14375, ""piamv"": 7187}",4300000,4600000,28.56,123,0.7682,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-12-06,21.92,70730,"{""commercial_lighting"": 38902, ""heer"": 10610, ""iheab"": 14146, ""piamv"": 7073}",4300000,4600000,28.56,116,0.7675,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-12-13,21.9,69901,"{""commercial_lighting"": 38446, ""heer"": 10485, ""iheab"": 13980, ""piamv"": 6990}",4300000,4600000,28.56,109,0.7668,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-12-20,21.9,69399,"{""commercial_lighting"": 38169, ""heer"": 10410, ""iheab"": 13880, ""piamv"": 6940}",4300000,4600000,28.56,102,0.7668,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2019-12-27,21.9,69231,"{""commercial_lighting"": 38077, ""heer"": 10385, ""iheab"": 13846, ""piamv"": 6923}",4300000,4600000,28.56,95,0.7668,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-01-03,21.5,75182,"{""commercial_lighting"": 37591, ""heer"": 12781, ""iheab"": 16540, ""piamv"": 8270}",4305769,4900000,29.02,88,0.7409,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-01-10,21.5,75726,"{""commercial_lighting"": 37863, ""heer"": 12873, ""iheab"": 16660, ""piamv"": 8330}",4311538,4900000,29.02,81,0.7409,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-01-17,21.38,76625,"{""commercial_lighting"": 38312, ""heer"": 13026, ""iheab"": 16858, ""piamv"": 8429}",4317308,4900000,29.02,74,0.7367,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-01-24,21.27,77864,"{""commercial_lighting"": 38932, ""heer"": 13237, ""iheab"": 17130, ""piamv"": 8565}",4323077,4900000,29.02,67,0.7329,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-01-31,21.15,79425,"{""commercial_lighting"": 39712, ""heer"": 13502, ""iheab"": 17474, ""piamv"": 8737}",4328846,4900000,29.02,60,0.7288,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-02-07,21.04,81287,"{""commercial_lighting"": 40644, ""heer"": 13819, ""iheab"": 17883, ""piamv"": 8942}",4334615,4900000,29.02,53,0.725,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-02-14,20.77,83422,"{""commercial_lighting"": 41711, ""heer"": 14182, ""iheab"": 18353, ""piamv"": 9176}",4340385,4900000,29.02,46,0.7157,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-02-21,20.42,85798,"{""commercial_lighting"": 42899, ""heer"": 14586, ""iheab"": 18876, ""piamv"": 9438}",4346154,4900000,29.02,39,0.7037,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-02-28,20.08,88382,"{""commercial_lighting"": 44191, ""heer"": 15025, ""iheab"": 19444, ""piamv"": 9722}",4351923,4900000,29.02,32,0.6919,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-03-06,19.73,91135,"{""commercial_lighting"": 45568, ""heer"": 15493, ""iheab"": 20050, ""piamv"": 10025}",4357692,4900000,29.02,25,0.6799,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-03-13,19.38,94017,"{""commercial_lighting"": 47008, ""heer"": 15983, ""iheab"": 20684, ""piamv"": 10342}",4363462,4900000,29.02,18,0.6678,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-03-20,19.04,96987,"{""commercial_lighting"": 48494, ""heer"": 16488, ""iheab"": 21337, ""piamv"": 10669}",4369231,4900000,29.02,11,0.6561,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}]",synthetic_monthly
2020-03-27,18.69,100000,"{""commercial_lighting"": 50000, ""heer"": 17000, ""iheab"": 22000, ""piamv"": 11000}",4375000,4900000,29.02,4,0.644,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-04-03,18.35,103013,"{""commercial_lighting"": 51506, ""heer"": 17512, ""iheab"": 22663, ""piamv"": 11331}",4380769,4900000,29.02,362,0.6323,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-04-10,18.0,105983,"{""commercial_lighting"": 52992, ""heer"": 18017, ""iheab"": 23316, ""piamv"": 11658}",4386538,4900000,29.02,355,0.6203,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-04-17,17.88,108865,"{""commercial_lighting"": 54432, ""heer"": 18507, ""iheab"": 23950, ""piamv"": 11975}",4392308,4900000,29.02,348,0.6161,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-04-24,17.77,111618,"{""commercial_lighting"": 55809, ""heer"": 18975, ""iheab"": 24556, ""piamv"": 12278}",4398077,4900000,29.02,341,0.6123,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-05-01,17.65,114202,"{""commercial_lighting"": 57101, ""heer"": 19414, ""iheab"": 25124, ""piamv"": 12562}",4403846,4900000,29.02,334,0.6082,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-05-08,17.54,116578,"{""commercial_lighting"": 58289, ""heer"": 19818, ""iheab"": 25647, ""piamv"": 12824}",4409615,4900000,29.02,327,0.6044,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-05-15,17.55,118713,"{""commercial_lighting"": 59356, ""heer"": 20181, ""iheab"": 26117, ""piamv"": 13058}",4415385,4900000,29.02,320,0.6048,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-05-22,17.62,120575,"{""commercial_lighting"": 60288, ""heer"": 20498, ""iheab"": 26526, ""piamv"": 13263}",4421154,4900000,29.02,313,0.6072,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-05-29,17.68,122136,"{""commercial_lighting"": 61068, ""heer"": 20763, ""iheab"": 26870, ""piamv"": 13435}",4426923,4900000,29.02,306,0.6092,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-06-05,17.75,123375,"{""commercial_lighting"": 61688, ""heer"": 20974, ""iheab"": 27142, ""piamv"": 13571}",4432692,4900000,29.02,299,0.6116,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-06-12,17.83,124274,"{""commercial_lighting"": 62137, ""heer"": 21127, ""iheab"": 27340, ""piamv"": 13670}",4438462,4900000,29.02,292,0.6144,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-06-19,17.92,124818,"{""commercial_lighting"": 62409, ""heer"": 21219, ""iheab"": 27460, ""piamv"": 13730}",4444231,4900000,29.02,285,0.6175,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-06-26,18.02,125000,"{""commercial_lighting"": 62500, ""heer"": 21250, ""iheab"": 27500, ""piamv"": 13750}",4450000,4900000,29.02,278,0.621,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-07-03,18.11,124818,"{""commercial_lighting"": 62409, ""heer"": 21219, ""iheab"": 27460, ""piamv"": 13730}",4455769,4900000,29.02,271,0.6241,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-07-10,18.2,124274,"{""commercial_lighting"": 62137, ""heer"": 21127, ""iheab"": 27340, ""piamv"": 13670}",4461538,4900000,29.02,264,0.6272,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-07-17,18.27,123375,"{""commercial_lighting"": 61688, ""heer"": 20974, ""iheab"": 27142, ""piamv"": 13571}",4467308,4900000,29.02,257,0.6296,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-07-24,18.34,122136,"{""commercial_lighting"": 61068, ""heer"": 20763, ""iheab"": 26870, ""piamv"": 13435}",4473077,4900000,29.02,250,0.632,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-07-31,18.41,120575,"{""commercial_lighting"": 60288, ""heer"": 20498, ""iheab"": 26526, ""piamv"": 13263}",4478846,4900000,29.02,243,0.6344,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-08-07,18.48,118713,"{""commercial_lighting"": 59356, ""heer"": 20181, ""iheab"": 26117, ""piamv"": 13058}",4484615,4900000,29.02,236,0.6368,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-08-14,18.58,116578,"{""commercial_lighting"": 58289, ""heer"": 19818, ""iheab"": 25647, ""piamv"": 12824}",4490385,4900000,29.02,229,0.6402,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-08-21,18.69,114202,"{""commercial_lighting"": 57101, ""heer"": 19414, ""iheab"": 25124, ""piamv"": 12562}",4496154,4900000,29.02,222,0.644,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-08-28,18.81,111618,"{""commercial_lighting"": 55809, ""heer"": 18975, ""iheab"": 24556, ""piamv"": 12278}",4501923,4900000,29.02,215,0.6482,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-09-04,18.92,108865,"{""commercial_lighting"": 54432, ""heer"": 18507, ""iheab"": 23950, ""piamv"": 11975}",4507692,4900000,29.02,208,0.652,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-09-11,19.04,105983,"{""commercial_lighting"": 52992, ""heer"": 18017, ""iheab"": 23316, ""piamv"": 11658}",4513462,4900000,29.02,201,0.6561,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-09-18,19.15,103013,"{""commercial_lighting"": 51506, ""heer"": 17512, ""iheab"": 22663, ""piamv"": 11331}",4519231,4900000,29.02,194,0.6599,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-09-25,19.27,100000,"{""commercial_lighting"": 50000, ""heer"": 17000, ""iheab"": 22000, ""piamv"": 11000}",4525000,4900000,29.02,187,0.664,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
2020-10-02,19.38,96987,"{""commercial_lighting"": 48494, ""heer"": 16488, ""iheab"": 21337, ""piamv"": 10669}",4530769,4900000,29.02,180,0.6678,"[{""date"": ""2019-07-01"", ""event"": ""ESS Rule 2009 Amendment No. 8"", ""impact"": ""neutral""}, {""date"": ""2020-03-23"", ""event"": ""COVID-19 ESS flexibility measures"", ""impact"": ""bearish""}]",synthetic_monthly
